ID,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
63,40,self-employed,married,secondary,no,0,yes,no,cellular,11,may,657,1,-1,0,unknown,yes
64,37,admin.,married,primary,no,214,yes,no,cellular,9,jul,645,1,-1,0,unknown,yes
65,47,technician,divorced,secondary,no,1013,no,no,cellular,15,jun,54,3,-1,0,unknown,no
66,32,technician,single,tertiary,no,2481,no,no,cellular,18,aug,547,11,-1,0,unknown,no
67,31,admin.,married,secondary,no,35,no,no,cellular,30,apr,615,1,-1,0,unknown,yes
68,36,blue-collar,single,secondary,no,2596,no,no,unknown,18,jun,60,6,-1,0,unknown,no
69,53,management,married,secondary,no,2895,yes,no,unknown,29,may,74,1,-1,0,unknown,no
70,48,management,divorced,unknown,no,549,yes,no,unknown,6,may,427,1,-1,0,unknown,no
71,53,blue-collar,married,secondary,no,21522,no,no,unknown,24,jun,146,4,-1,0,unknown,no
72,42,technician,married,secondary,no,89,yes,no,cellular,5,may,159,1,-1,0,unknown,no
73,49,retired,married,primary,no,-37,no,no,unknown,4,jul,191,2,-1,0,unknown,no
74,39,housemaid,married,primary,no,13338,no,no,cellular,11,aug,103,4,-1,0,unknown,no
75,40,technician,married,tertiary,no,1034,yes,no,cellular,18,may,368,2,-1,0,unknown,no
76,29,admin.,single,tertiary,no,8,no,yes,cellular,2,mar,107,1,-1,0,unknown,no
77,29,technician,married,secondary,no,95,no,yes,cellular,3,feb,172,3,-1,0,unknown,yes
78,53,technician,married,secondary,no,1319,no,no,unknown,19,jun,1318,3,-1,0,unknown,yes
79,32,admin.,married,secondary,no,51,yes,yes,cellular,7,jul,297,1,-1,0,unknown,yes
80,30,services,single,secondary,no,438,yes,no,cellular,18,may,98,1,178,1,failure,no
81,58,admin.,married,secondary,no,855,no,no,cellular,14,aug,81,2,-1,0,unknown,no
82,28,blue-collar,single,secondary,no,643,no,no,cellular,3,jul,308,2,-1,0,unknown,yes
83,42,services,divorced,secondary,no,444,no,no,cellular,21,nov,171,1,-1,0,unknown,no
84,54,management,married,tertiary,no,184,no,no,cellular,6,feb,13,6,-1,0,unknown,no
85,37,blue-collar,married,secondary,no,140,yes,yes,cellular,7,may,490,1,-1,0,unknown,no
86,35,services,married,secondary,no,437,yes,no,unknown,26,may,240,1,-1,0,unknown,no
87,49,services,married,secondary,no,1377,yes,no,unknown,7,may,1101,1,-1,0,unknown,no
88,33,blue-collar,married,secondary,no,315,no,no,cellular,4,feb,146,3,-1,0,unknown,yes
89,32,management,single,tertiary,no,520,no,no,cellular,3,feb,443,2,-1,0,unknown,yes
90,54,services,divorced,secondary,no,0,no,no,cellular,1,jun,174,1,81,2,success,yes
91,51,management,married,unknown,no,1708,no,no,telephone,29,jan,92,3,-1,0,unknown,no
92,29,self-employed,married,secondary,no,123,no,yes,cellular,21,apr,158,2,181,1,success,yes
93,28,student,married,tertiary,no,327,yes,no,cellular,15,may,104,3,-1,0,unknown,no
94,33,management,single,tertiary,no,3161,yes,no,cellular,2,apr,313,3,-1,0,unknown,yes
95,47,technician,divorced,tertiary,no,694,yes,no,cellular,11,may,1001,4,-1,0,unknown,no
96,30,management,single,tertiary,no,102,yes,no,cellular,18,dec,364,3,-1,0,unknown,yes
97,60,retired,married,secondary,no,1853,no,no,cellular,11,aug,408,1,-1,0,unknown,yes
98,34,housemaid,married,secondary,no,390,yes,no,cellular,15,jul,659,3,-1,0,unknown,no
99,23,self-employed,single,tertiary,no,780,no,no,cellular,16,sep,393,1,183,3,success,yes
100,29,housemaid,single,tertiary,no,19,no,no,cellular,5,feb,110,2,64,2,success,yes
101,48,unknown,single,unknown,no,1819,no,no,cellular,2,sep,1440,1,458,1,failure,yes
102,47,blue-collar,married,primary,no,3038,yes,no,cellular,14,jul,151,2,-1,0,unknown,no
103,36,management,married,tertiary,no,96,no,no,cellular,30,jul,729,4,-1,0,unknown,yes
104,36,management,single,tertiary,no,243,yes,no,cellular,7,may,160,2,360,3,failure,no
105,35,self-employed,married,tertiary,no,2427,no,no,cellular,12,jul,210,3,158,7,other,yes
106,36,blue-collar,married,primary,no,223,yes,no,unknown,14,jul,12,3,-1,0,unknown,no
107,30,self-employed,single,tertiary,no,916,no,no,cellular,29,dec,449,2,-1,0,unknown,yes
108,44,admin.,single,secondary,no,1534,no,no,cellular,7,aug,166,1,99,2,other,yes
109,45,technician,married,secondary,no,0,no,no,telephone,13,aug,99,1,-1,0,unknown,no
110,47,blue-collar,married,secondary,no,1388,yes,no,cellular,17,apr,119,2,-1,0,unknown,no
111,42,technician,married,unknown,no,1559,no,no,cellular,30,apr,368,1,-1,0,unknown,yes
112,44,blue-collar,divorced,primary,no,-57,yes,no,cellular,7,may,234,1,356,2,failure,no
113,35,management,single,tertiary,no,643,yes,no,unknown,23,may,322,1,-1,0,unknown,no
114,39,technician,married,secondary,no,603,no,yes,cellular,15,apr,214,1,-1,0,unknown,yes
115,34,housemaid,married,tertiary,no,677,no,no,cellular,9,feb,37,2,-1,0,unknown,no
116,52,unemployed,married,tertiary,no,2133,no,yes,cellular,18,jul,90,1,-1,0,unknown,no
117,53,blue-collar,married,secondary,no,6112,no,no,cellular,3,feb,211,1,-1,0,unknown,yes
118,30,self-employed,married,secondary,no,131,yes,no,unknown,8,may,306,1,-1,0,unknown,no
119,36,management,single,tertiary,no,5958,yes,no,cellular,22,sep,155,1,184,1,success,yes
120,60,retired,divorced,primary,no,-79,yes,yes,cellular,29,jan,192,1,-1,0,unknown,no
121,36,blue-collar,single,primary,no,3214,yes,no,unknown,16,jun,124,2,-1,0,unknown,no
122,46,blue-collar,married,secondary,no,456,no,yes,cellular,18,aug,618,6,-1,0,unknown,yes
123,57,management,married,tertiary,no,1172,yes,no,cellular,20,nov,72,1,-1,0,unknown,no
124,44,housemaid,married,secondary,no,192,no,no,unknown,11,jun,232,2,-1,0,unknown,no
125,59,retired,married,secondary,no,136,no,no,cellular,6,aug,301,4,-1,0,unknown,no
126,44,admin.,married,secondary,yes,0,no,yes,unknown,30,jun,76,3,-1,0,unknown,no
127,45,technician,single,tertiary,no,1591,no,no,cellular,15,jul,392,4,-1,0,unknown,no
128,56,management,married,tertiary,no,2366,yes,yes,cellular,3,feb,538,2,188,4,failure,no
129,50,management,married,tertiary,no,469,no,no,cellular,16,apr,161,1,-1,0,unknown,yes
130,46,admin.,divorced,primary,no,429,yes,no,cellular,26,apr,465,2,369,2,success,yes
131,30,technician,single,secondary,no,458,no,no,cellular,20,nov,51,7,-1,0,unknown,no
132,26,admin.,single,secondary,no,255,no,no,cellular,9,feb,190,1,-1,0,unknown,yes
133,36,technician,divorced,secondary,no,1,no,no,cellular,8,aug,1242,3,-1,0,unknown,yes
134,31,blue-collar,single,secondary,no,33,yes,no,unknown,15,may,214,4,-1,0,unknown,no
135,72,retired,married,unknown,no,1940,no,no,telephone,4,dec,705,2,-1,0,unknown,yes
136,45,admin.,divorced,secondary,no,-176,no,yes,cellular,7,jul,574,1,-1,0,unknown,yes
137,27,technician,single,tertiary,no,3706,yes,no,unknown,16,may,897,1,-1,0,unknown,yes
138,37,admin.,single,secondary,no,728,no,no,cellular,3,feb,129,1,174,2,other,yes
139,49,blue-collar,married,tertiary,no,1784,no,no,unknown,12,jun,753,1,-1,0,unknown,no
140,60,technician,married,secondary,no,294,no,no,telephone,3,jun,206,4,-1,0,unknown,yes
141,47,technician,married,tertiary,no,1694,no,yes,unknown,20,jun,560,3,-1,0,unknown,yes
142,40,entrepreneur,single,secondary,no,5,no,yes,cellular,15,jul,117,3,-1,0,unknown,no
143,80,retired,married,secondary,no,8304,no,no,telephone,8,sep,606,3,91,13,success,yes
144,45,blue-collar,married,secondary,no,10252,no,no,cellular,4,may,675,2,-1,0,unknown,yes
145,30,technician,single,tertiary,no,2325,no,no,cellular,10,aug,263,1,127,7,failure,yes
146,25,student,single,secondary,no,4147,no,no,cellular,14,aug,211,3,-1,0,unknown,yes
147,34,housemaid,single,primary,no,443,no,no,cellular,30,jan,10,1,2,1,other,no
148,27,technician,single,secondary,no,16,no,no,unknown,19,may,193,1,-1,0,unknown,no
149,51,blue-collar,married,primary,no,3754,no,yes,cellular,13,aug,202,3,-1,0,unknown,no
150,28,services,single,secondary,no,458,no,no,cellular,4,feb,112,4,201,3,failure,no
151,63,retired,married,secondary,no,2030,no,no,cellular,6,apr,61,6,-1,0,unknown,no
152,31,management,single,tertiary,no,296,no,yes,cellular,8,jul,509,4,-1,0,unknown,yes
153,47,management,married,tertiary,no,2351,no,no,cellular,2,jun,163,2,84,1,success,yes
154,56,services,married,secondary,no,642,yes,no,cellular,30,jan,16,1,2,3,other,no
155,35,management,divorced,tertiary,no,457,yes,no,cellular,5,feb,114,3,-1,0,unknown,no
156,42,management,married,secondary,no,1018,no,no,cellular,29,jul,305,2,-1,0,unknown,no
157,46,management,divorced,tertiary,no,1297,no,no,cellular,11,aug,716,3,-1,0,unknown,yes
158,21,student,single,primary,no,423,no,no,telephone,18,jan,287,5,285,5,success,yes
159,24,services,single,secondary,no,414,yes,no,cellular,18,may,493,1,370,1,other,yes
160,56,management,married,tertiary,no,746,no,no,cellular,30,apr,193,1,-1,0,unknown,no
161,36,technician,single,secondary,no,539,yes,no,cellular,27,aug,398,2,477,1,failure,yes
162,37,management,single,tertiary,no,33,yes,no,cellular,12,mar,186,1,-1,0,unknown,yes
163,35,technician,single,tertiary,no,470,yes,no,cellular,25,jul,743,13,-1,0,unknown,yes
164,79,retired,married,primary,no,429,no,no,telephone,8,jul,1006,2,-1,0,unknown,yes
165,39,services,divorced,secondary,no,0,yes,no,cellular,13,apr,1006,2,-1,0,unknown,yes
166,32,technician,married,secondary,no,465,yes,no,cellular,12,may,210,2,-1,0,unknown,no
167,72,retired,married,primary,no,4657,no,no,cellular,22,dec,305,3,309,5,success,yes
168,52,management,single,tertiary,no,83,no,no,cellular,26,aug,1223,6,-1,0,unknown,yes
169,30,admin.,single,tertiary,no,305,no,no,cellular,4,feb,227,2,-1,0,unknown,yes
170,27,admin.,single,secondary,no,3,yes,no,cellular,8,may,346,2,-1,0,unknown,no
171,38,admin.,divorced,secondary,no,407,yes,yes,cellular,19,aug,89,1,-1,0,unknown,no
172,46,management,married,tertiary,no,1217,yes,no,unknown,15,may,236,1,-1,0,unknown,no
173,30,admin.,single,secondary,no,-548,yes,yes,cellular,28,jul,70,2,-1,0,unknown,no
174,27,management,single,tertiary,no,107,no,no,cellular,18,oct,767,3,-1,0,unknown,yes
175,38,technician,married,tertiary,no,1042,yes,no,cellular,4,feb,419,2,-1,0,unknown,no
176,31,entrepreneur,single,tertiary,yes,-405,yes,yes,cellular,13,aug,703,2,-1,0,unknown,yes
177,32,technician,single,tertiary,no,5514,no,no,cellular,22,apr,319,1,182,1,success,yes
178,36,services,divorced,primary,no,418,yes,no,cellular,8,may,156,2,-1,0,unknown,no
179,33,technician,single,tertiary,no,3689,no,no,cellular,27,aug,445,3,-1,0,unknown,yes
180,38,admin.,single,secondary,no,2600,yes,no,cellular,19,nov,67,1,-1,0,unknown,no
181,58,management,single,tertiary,no,342,no,yes,cellular,11,jul,564,2,-1,0,unknown,no
182,28,unknown,single,unknown,no,326,no,no,cellular,11,oct,450,1,231,1,success,yes
183,50,technician,married,secondary,no,103,yes,no,cellular,3,feb,109,4,267,6,failure,no
184,33,admin.,single,secondary,no,1277,yes,no,cellular,18,may,827,1,-1,0,unknown,yes
185,34,technician,single,secondary,no,0,no,no,cellular,28,aug,195,6,-1,0,unknown,no
186,25,management,single,tertiary,no,528,no,no,cellular,14,aug,201,1,-1,0,unknown,yes
187,26,blue-collar,single,secondary,no,2007,no,no,cellular,13,jul,272,3,182,2,success,yes
188,28,services,single,secondary,no,168,no,no,cellular,1,jun,347,3,140,2,success,yes
189,40,management,married,secondary,no,2596,no,no,unknown,12,jun,236,1,-1,0,unknown,no
190,48,management,married,tertiary,no,1147,no,no,cellular,3,dec,155,1,120,3,success,yes
191,43,admin.,single,secondary,no,386,no,no,cellular,12,oct,242,1,92,4,success,no
192,42,technician,single,secondary,no,823,yes,no,cellular,28,jan,137,1,-1,0,unknown,no
193,33,blue-collar,single,primary,no,127,yes,no,unknown,29,may,1059,2,-1,0,unknown,yes
194,63,admin.,divorced,secondary,no,4680,no,no,cellular,15,sep,953,2,-1,0,unknown,yes
195,35,management,married,tertiary,no,2583,no,no,cellular,19,nov,210,1,-1,0,unknown,no
196,36,technician,single,secondary,no,265,yes,yes,unknown,5,may,348,1,-1,0,unknown,no
197,33,admin.,single,secondary,no,-15,no,no,telephone,12,may,326,3,350,2,failure,no
198,48,admin.,married,secondary,no,50,no,yes,cellular,21,oct,419,1,-1,0,unknown,yes
199,63,retired,married,primary,no,48,no,no,cellular,9,jun,251,1,-1,0,unknown,yes
200,30,services,single,unknown,no,138,yes,no,cellular,20,apr,187,1,-1,0,unknown,no
201,57,admin.,single,secondary,no,5768,yes,no,unknown,19,jun,512,1,-1,0,unknown,yes
202,51,blue-collar,married,primary,no,4497,yes,no,unknown,15,may,276,3,-1,0,unknown,no
203,20,student,single,secondary,no,215,no,no,cellular,24,feb,175,1,92,6,success,yes
204,60,retired,married,secondary,no,938,no,no,cellular,13,jan,380,3,-1,0,unknown,yes
205,45,technician,divorced,secondary,no,-357,yes,yes,cellular,18,may,618,1,355,2,failure,yes
206,61,retired,married,secondary,no,2917,no,no,cellular,6,oct,215,1,-1,0,unknown,yes
207,44,services,divorced,secondary,no,-368,yes,no,cellular,5,may,895,1,-1,0,unknown,yes
208,30,unemployed,married,secondary,no,142,yes,no,unknown,20,may,350,4,-1,0,unknown,no
209,27,blue-collar,married,secondary,no,4333,no,no,cellular,20,apr,163,1,-1,0,unknown,yes
210,89,retired,married,tertiary,no,553,no,no,telephone,19,aug,2027,5,-1,0,unknown,no
211,35,admin.,married,secondary,no,-488,yes,no,unknown,2,jun,97,4,-1,0,unknown,no
212,53,technician,divorced,secondary,no,45,no,no,unknown,28,may,171,6,-1,0,unknown,no
213,40,blue-collar,married,primary,no,46,yes,no,unknown,6,may,119,1,-1,0,unknown,no
214,34,services,single,secondary,no,313,yes,no,cellular,14,jul,634,3,-1,0,unknown,no
215,28,admin.,married,secondary,no,1595,no,no,cellular,9,sep,268,1,254,4,success,yes
216,32,technician,married,secondary,no,303,yes,no,cellular,8,apr,150,1,267,4,failure,yes
217,37,management,married,tertiary,no,238,no,no,cellular,3,feb,185,1,92,1,success,yes
218,54,self-employed,married,secondary,no,203,yes,no,telephone,7,jul,238,8,-1,0,unknown,no
219,33,management,married,tertiary,no,307,no,no,unknown,16,may,806,4,-1,0,unknown,no
220,33,management,single,tertiary,no,224,no,no,cellular,8,mar,241,2,-1,0,unknown,yes
221,55,management,married,tertiary,no,23189,yes,no,unknown,14,may,77,1,-1,0,unknown,no
222,31,student,single,tertiary,no,4951,no,no,cellular,28,jun,150,3,-1,0,unknown,no
223,42,entrepreneur,married,unknown,no,206,yes,no,cellular,30,jul,695,2,-1,0,unknown,yes
224,36,management,married,tertiary,no,1582,no,no,telephone,3,feb,26,2,197,1,failure,no
225,32,blue-collar,single,secondary,no,217,yes,no,cellular,15,may,692,3,-1,0,unknown,yes
226,23,services,single,secondary,no,488,no,no,cellular,29,jun,205,1,91,3,success,yes
227,54,unemployed,married,secondary,no,377,no,no,cellular,8,apr,1134,1,-1,0,unknown,yes
228,31,management,married,tertiary,no,131,no,no,cellular,18,feb,332,2,-1,0,unknown,yes
229,34,housemaid,married,tertiary,no,897,no,no,cellular,12,aug,197,4,-1,0,unknown,no
230,30,management,single,tertiary,no,13774,no,no,cellular,14,sep,380,1,-1,0,unknown,no
231,49,housemaid,married,primary,no,78,no,no,telephone,10,jul,139,1,-1,0,unknown,no
232,44,blue-collar,married,secondary,no,879,yes,no,cellular,3,apr,383,1,-1,0,unknown,no
233,33,self-employed,divorced,secondary,no,1904,yes,no,cellular,17,jul,1584,2,-1,0,unknown,yes
234,33,services,married,secondary,no,70,yes,no,cellular,21,jul,333,3,-1,0,unknown,no
235,39,admin.,divorced,secondary,no,112,no,no,cellular,16,sep,574,3,-1,0,unknown,yes
236,31,management,single,tertiary,no,617,no,no,cellular,4,jun,1161,1,97,2,success,yes
237,32,blue-collar,single,secondary,no,413,yes,no,cellular,19,nov,270,1,-1,0,unknown,no
238,28,blue-collar,married,secondary,no,2788,yes,no,unknown,6,jun,369,2,-1,0,unknown,yes
239,39,admin.,married,tertiary,no,259,yes,no,unknown,19,may,27,1,-1,0,unknown,no
240,38,services,married,secondary,no,133,yes,no,unknown,27,may,267,1,-1,0,unknown,no
241,35,admin.,married,secondary,no,786,no,yes,cellular,25,jul,322,1,-1,0,unknown,no
242,39,management,single,tertiary,no,2258,yes,no,cellular,31,jul,255,2,-1,0,unknown,no
243,32,technician,single,tertiary,no,34646,no,no,telephone,13,aug,618,9,-1,0,unknown,yes
244,22,blue-collar,single,secondary,no,-51,yes,no,cellular,15,may,859,1,-1,0,unknown,yes
245,58,services,married,primary,no,2946,yes,no,cellular,14,may,467,1,-1,0,unknown,yes
246,26,blue-collar,single,secondary,no,972,yes,no,unknown,20,may,177,10,-1,0,unknown,no
247,35,management,married,tertiary,no,244,yes,no,cellular,19,nov,138,1,-1,0,unknown,no
248,54,retired,married,secondary,no,3846,yes,yes,unknown,19,jun,216,2,-1,0,unknown,no
249,72,retired,married,primary,no,2079,no,no,cellular,13,aug,100,1,191,3,other,no
250,37,management,divorced,tertiary,no,1170,yes,yes,cellular,18,may,106,1,-1,0,unknown,no
251,37,services,single,tertiary,no,1189,no,no,cellular,13,sep,323,9,199,4,other,yes
252,30,technician,single,tertiary,no,3,yes,no,unknown,7,may,174,1,-1,0,unknown,no
253,22,student,single,tertiary,no,1161,no,yes,cellular,16,jun,119,1,-1,0,unknown,no
254,42,blue-collar,married,secondary,no,1468,yes,no,unknown,28,may,136,1,-1,0,unknown,no
255,50,retired,married,primary,no,29,no,no,unknown,20,jun,135,5,-1,0,unknown,no
256,33,student,married,secondary,no,1536,no,no,cellular,9,nov,262,1,94,2,success,yes
257,25,technician,married,tertiary,no,2551,no,no,cellular,28,dec,400,3,-1,0,unknown,yes
258,42,admin.,divorced,secondary,no,2129,no,no,cellular,13,aug,633,1,182,2,other,yes
259,50,admin.,married,secondary,no,-195,no,no,cellular,22,aug,119,4,-1,0,unknown,no
260,31,blue-collar,married,primary,no,50,yes,no,unknown,8,may,300,2,-1,0,unknown,no
261,50,technician,divorced,secondary,no,8016,no,no,cellular,17,jul,903,4,-1,0,unknown,no
262,23,student,single,secondary,no,107,no,no,cellular,14,oct,84,1,183,1,success,yes
263,32,admin.,married,tertiary,no,390,yes,yes,cellular,5,may,100,1,243,1,other,no
264,44,technician,married,secondary,no,5163,no,no,cellular,11,aug,48,2,-1,0,unknown,no
265,32,management,single,tertiary,no,1781,no,no,cellular,8,apr,321,1,-1,0,unknown,yes
266,47,admin.,single,secondary,no,3531,yes,no,cellular,7,jul,49,6,-1,0,unknown,no
267,27,management,single,tertiary,yes,0,yes,no,unknown,19,may,352,1,-1,0,unknown,no
268,58,housemaid,married,primary,no,260,yes,no,telephone,15,may,71,5,364,3,failure,no
269,60,retired,married,secondary,no,597,no,no,cellular,15,jul,981,1,-1,0,unknown,yes
270,32,admin.,married,secondary,no,366,no,no,cellular,14,jan,366,2,-1,0,unknown,yes
271,47,housemaid,single,primary,no,2785,yes,no,cellular,13,may,570,1,-1,0,unknown,yes
272,34,services,married,secondary,no,40,yes,no,cellular,17,jul,302,2,-1,0,unknown,no
273,29,services,married,primary,no,-102,no,no,unknown,4,jul,134,1,-1,0,unknown,no
274,31,management,married,tertiary,no,2652,no,no,cellular,25,aug,9,9,-1,0,unknown,no
275,38,technician,single,secondary,no,103,yes,no,cellular,2,feb,159,1,187,3,failure,no
276,46,blue-collar,married,secondary,no,2603,yes,yes,cellular,11,may,50,3,277,2,failure,no
277,32,blue-collar,married,primary,no,494,yes,no,unknown,26,may,252,2,-1,0,unknown,no
278,34,management,single,tertiary,no,404,yes,no,cellular,5,feb,10,6,-1,0,unknown,no
279,56,technician,divorced,secondary,no,3450,no,no,cellular,10,aug,507,1,181,2,success,yes
280,35,technician,single,tertiary,no,5301,no,no,cellular,21,nov,937,2,-1,0,unknown,yes
281,32,admin.,single,secondary,no,223,yes,yes,unknown,27,may,236,4,-1,0,unknown,no
282,35,services,married,secondary,no,52,yes,no,cellular,4,jun,328,2,94,4,success,yes
283,26,blue-collar,single,primary,no,102,yes,no,unknown,16,may,46,1,-1,0,unknown,no
284,33,admin.,married,tertiary,no,79,yes,no,cellular,22,oct,249,2,335,2,failure,yes
285,55,management,married,primary,no,621,no,yes,cellular,2,feb,114,1,208,1,failure,no
286,40,blue-collar,married,primary,no,332,yes,no,cellular,12,may,339,2,369,3,failure,no
287,60,retired,divorced,tertiary,no,380,no,no,cellular,21,jul,219,1,-1,0,unknown,no
288,29,services,single,secondary,no,887,no,no,cellular,4,feb,343,1,-1,0,unknown,no
289,34,admin.,married,tertiary,no,69,no,yes,cellular,4,aug,120,3,1,6,success,yes
290,33,admin.,married,secondary,no,-370,yes,no,cellular,7,may,261,1,345,1,failure,yes
291,41,admin.,married,secondary,no,3126,yes,no,cellular,29,jun,222,1,91,7,failure,yes
292,71,retired,married,primary,no,4657,no,no,cellular,16,feb,93,5,-1,0,unknown,yes
293,38,services,married,secondary,no,1970,yes,no,cellular,30,apr,701,1,176,1,success,yes
294,33,services,single,secondary,no,100,yes,no,cellular,14,may,11,8,297,7,other,no
295,39,services,married,tertiary,no,1493,no,no,cellular,9,feb,912,3,-1,0,unknown,yes
296,54,retired,divorced,tertiary,no,0,no,no,unknown,13,may,618,1,-1,0,unknown,yes
297,26,services,single,secondary,no,1445,no,no,telephone,23,oct,171,1,-1,0,unknown,yes
298,29,admin.,single,secondary,no,-194,yes,no,cellular,7,may,127,1,-1,0,unknown,no
